No.,Food Item,Category,1 Serving Size,Total Weight (g),Protein (g),Fats (g),Carbohydrates (g),Calories (kcal),Breakfast,Snack 1,Lunch,Snack 2,Dinner,User Preference,Source
1,Grated Parmesan Cheese,Dairy,1 tsp,5.0,1.9,1.4,0.2,21.6,0,0,0,0,0,0.75,Original
2,Cheddar Cheese,Dairy,2 tbsp,28.0,7.0,9.3,0.4,112.8,0,0,0,0,0,1.0,Original
3,Halloumi Cheese,Dairy,1 cup,100.0,16.4,29.4,8.2,363.0,0,0,0,0,0,0.5,Original
4,Hard Goat Milk Cheese,Dairy,2 tbsp,28.0,8.5,10.0,0.6,126.6,1,0,0,0,0,1.0,Original
5,Soft Goat Milk Cheese,Dairy,2 tbsp,28.0,5.2,5.9,0.2,75.0,1,0,0,0,0,1.0,Original
6,Medium-Soft Goat Milk Cheese,Dairy,2 tbsp,28.0,6.0,8.4,0.7,101.9,1,0,0,0,0,0.25,Original
7,Low-Fat Ricotta Cheese,Dairy,1 cup,124.0,14.1,9.8,6.4,171.1,0,0,0,0,0,0.5,Original
8,Full-Fat Ricotta Cheese,Dairy,1 cup,124.0,14.0,16.1,3.8,215.8,0,0,0,0,0,0.5,Original
9,Feta Cheese,Dairy,2 tbsp,28.0,4.0,6.0,1.1,73.9,0,0,0,0,0,0.5,Original
10,Cream Cheese,Dairy,2 tbsp,15.0,0.9,5.1,0.6,51.3,0,0,0,0,0,1.0,Original
11,Fat-Free Cream Cheese,Dairy,2 tbsp,28.0,4.4,0.3,2.1,29.4,1,0,0,0,0,0.75,Original
12,Low-Fat Cream Cheese,Dairy,2 tbsp,28.0,2.2,4.3,2.3,56.3,1,0,0,0,0,0.5,Original
13,Cottage Cheese < 5% Fat,Dairy,1 cup,226.0,23.4,0.7,15.1,162.7,1,0,0,0,0,1.0,Original
14,Full-Fat Mozzarella Cheese,Dairy,2 tbsp,28.0,6.2,6.3,0.6,84.0,0,0,0,0,0,0.25,Original
15,Fat-Free Mozzarella Cheese,Dairy,2 tbsp,28.0,8.9,0.0,1.0,41.7,0,0,0,0,0,0.75,Original
16,Low-Fat Mozzarella Cheese,Dairy,2 tbsp,28.0,6.8,4.5,0.8,71.1,0,0,0,0,0,0.25,Original
17,Evaporated Milk,Dairy,6 tbsp,100.0,7.0,7.9,9.7,137.0,1,0,0,0,0,0.75,Original
18,Sheep's Milk,Dairy,1 cup,245.0,14.7,17.2,13.1,264.6,1,0,0,0,0,1.0,Original
19,Goat's Milk,Dairy,1 cup,244.0,8.7,10.1,10.9,168.4,0,0,0,0,0,0.0,Original
20,Low-Fat Chocolate Milk,Dairy,1 cup,250.0,7.5,4.8,30.3,190.0,1,0,0,0,0,0.75,Original
21,Strawberry Milk,Dairy,1 cup,266.0,8.0,8.2,32.7,234.1,1,0,0,0,0,0.25,Original
22,Milk Powder,Dairy,2 tbsp,32.0,8.4,8.5,12.3,158.7,0,0,0,0,0,1.0,Original
23,Low-Fat Milk,Dairy,1 cup,244.0,8.1,4.8,11.4,122.0,1,0,0,0,0,0.75,Original
24,Full-Fat Milk,Dairy,1/3 cup,100.0,3.5,3.0,5.5,64.0,0,0,0,0,0,0.0,Original
25,Canned Fat-Free Evaporated Milk,Dairy,2 tbsp,32.0,2.4,0.1,3.6,25.0,1,0,0,0,0,0.0,Original
26,Canned Sweetened Condensed Milk,Dairy,2 tbsp,38.0,3.0,3.3,20.7,122.0,1,0,0,0,0,0.5,Original
27,Fat-Free Milk,Dairy,1 cup,245.0,8.3,0.2,12.2,83.3,1,0,0,0,0,0.5,Original
28,Yogurt,Dairy,1/3 cup,100.0,3.2,2.6,5.4,59.0,1,0,0,0,0,0.25,Original
